년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2011/12/29","11,365.67","22.93","10,227.03","17.00","10,128.00","20.44"
"2011/12/28","11,342.74","0.39","10,210.03","-0.58","10,107.57","0.35"
"2011/12/27","11,342.35","0.15","10,210.61","-0.80","10,107.22","0.14"
"2011/12/26","11,342.20","-0.63","10,211.41","-1.49","10,107.08","-0.56"
"2011/12/23","11,342.82","-0.78","10,212.90","-3.51","10,107.64","-0.69"
"2011/12/22","11,343.60","0.96","10,216.41","-0.07","10,108.33","0.85"
"2011/12/21","11,342.64","5.06","10,216.48","3.64","10,107.48","4.51"
"2011/12/20","11,337.58","14.33","10,212.84","12.03","10,102.97","12.77"
"2011/12/19","11,323.25","-28.28","10,200.81","-26.56","10,090.20","-25.20"
"2011/12/16","11,351.53","1.57","10,227.37","-1.50","10,115.40","1.40"
"2011/12/15","11,349.96","4.47","10,228.87","3.07","10,114.00","3.99"
"2011/12/14","11,345.49","5.66","10,225.80","4.15","10,110.02","5.05"
"2011/12/13","11,339.83","7.12","10,221.65","5.47","10,104.97","6.35"
"2011/12/12","11,332.70","1.48","10,216.18","0.38","10,098.62","1.33"
"2011/12/09","11,331.22","3.91","10,215.80","1.25","10,097.30","-104.95"
"2011/12/08","11,327.31","-5.83","10,214.55","-6.91","10,202.24","-5.25"
"2011/12/07","11,333.14","2.36","10,221.46","1.18","10,207.50","2.12"
"2011/12/06","11,330.79","4.19","10,220.28","2.86","10,205.38","3.77"
"2011/12/05","11,326.60","0.26","10,217.42","-0.74","10,201.60","0.23"
"2011/12/02","11,326.34","4.32","10,218.16","1.03","10,201.37","3.89"
"2011/12/01","11,322.02","-2.77","10,217.13","-3.51","10,197.48","-2.49"
"2011/11/30","11,324.79","18.32","10,220.64","15.78","10,199.97","16.50"
"2011/11/29","11,306.47","3.79","10,204.86","2.49","10,183.48","3.42"
"2011/11/28","11,302.68","-5.83","10,202.37","-6.30","10,180.06","-5.25"
"2011/11/25","11,308.50","-6.58","10,208.67","-8.94","10,185.31","-5.93"
"2011/11/24","11,315.08","-3.59","10,217.61","-4.25","10,191.23","-3.23"
"2011/11/23","11,318.67","10.30","10,221.86","8.44","10,194.46","9.28"
"2011/11/22","11,308.37","-3.68","10,213.42","-4.33","10,185.18","-3.31"
"2011/11/21","11,312.05","-0.14","10,217.75","-1.11","10,188.50","-0.13"
"2011/11/18","11,312.19","5.53","10,218.86","2.13","10,188.62","4.98"
"2011/11/17","11,306.66","-8.40","10,216.73","-8.65","10,183.65","-7.56"
"2011/11/16","11,315.06","6.95","10,225.38","5.38","10,191.21","6.26"
"2011/11/15","11,308.11","14.59","10,220.00","12.37","10,184.95","13.14"
"2011/11/14","11,293.52","-7.89","10,207.63","-8.18","10,171.81","-7.10"
"2011/11/11","11,301.40","-12.12","10,215.81","-14.01","10,178.91","-10.92"
"2011/11/10","11,313.53","18.40","10,229.82","15.85","10,189.83","16.57"
"2011/11/09","11,295.13","2.26","10,213.97","1.09","10,173.26","2.03"
"2011/11/08","11,292.87","7.64","10,212.88","6.01","10,171.23","6.88"
"2011/11/07","11,285.23","7.89","10,206.87","6.23","10,164.35","7.10"
"2011/11/04","11,277.35","2.81","10,200.64","-0.35","10,157.24","2.53"
"2011/11/03","11,274.53","13.68","10,200.99","11.54","10,154.71","12.32"
"2011/11/02","11,260.85","3.41","10,189.45","2.14","10,142.39","3.07"
"2011/11/01","11,257.44","9.79","10,187.31","7.99","10,139.32","8.82"
"2011/10/31","11,247.65","13.24","10,179.32","11.13","10,130.50","11.93"
"2011/10/28","11,234.41","-0.70","10,168.19","-3.57","10,118.57","-0.63"
"2011/10/27","11,235.11","-8.03","10,171.76","-8.31","10,119.20","-7.23"
"2011/10/26","11,243.14","10.67","10,180.07","8.78","10,126.44","9.61"
"2011/10/25","11,232.47","1.01","10,171.29","-0.05","10,116.82","0.91"
"2011/10/24","11,231.46","-13.10","10,171.34","-12.96","10,115.92","-11.80"
"2011/10/21","11,244.56","-11.28","10,184.30","-13.24","10,127.72","-10.16"
"2011/10/20","11,255.85","4.72","10,197.54","3.35","10,137.88","4.25"
"2011/10/19","11,251.12","-1.28","10,194.19","-2.15","10,133.63","-1.16"
"2011/10/18","11,252.41","5.95","10,196.34","4.47","10,134.78","5.36"
"2011/10/17","11,246.46","-15.02","10,191.87","-14.72","10,129.42","-13.53"
"2011/10/14","11,261.48","-0.89","10,206.59","-3.74","10,142.95","-0.81"
"2011/10/13","11,262.38","7.48","10,210.33","5.87","10,143.76","6.74"
"2011/10/12","11,254.90","21.57","10,204.46","18.75","10,137.02","19.42"
"2011/10/11","11,233.33","0.87","10,185.71","-0.18","10,117.60","0.79"
"2011/10/10","11,232.46","-15.49","10,185.89","-15.13","10,116.81","-13.95"
"2011/10/07","11,247.94","0.42","10,201.02","-2.54","10,130.76","0.38"
"2011/10/06","11,247.52","4.30","10,203.56","2.95","10,130.38","3.87"
"2011/10/05","11,243.22","8.01","10,200.61","6.35","10,126.51","7.21"
"2011/10/04","11,235.22","33.84","10,194.26","29.97","10,119.30","30.48"
"2011/09/30","11,201.38","1.91","10,164.29","-2.15","10,088.82","1.72"
"2011/09/29","11,199.47","-6.25","10,166.44","-6.69","10,087.10","-5.62"
"2011/09/28","11,205.71","-23.28","10,173.13","-22.26","10,092.73","-20.97"
"2011/09/27","11,229.00","15.02","10,195.39","12.76","10,113.70","13.53"
"2011/09/26","11,213.98","-14.52","10,182.63","-14.25","10,100.17","-13.08"
"2011/09/23","11,228.50","18.92","10,196.88","14.38","10,113.25","17.04"
"2011/09/22","11,209.57","3.84","10,182.50","2.54","10,096.20","3.46"
"2011/09/21","11,205.73","-2.94","10,179.96","-3.66","10,092.74","-2.65"
"2011/09/20","11,208.67","7.16","10,183.62","5.58","10,095.39","6.45"
"2011/09/19","11,201.50","-37.53","10,178.04","-35.32","10,088.93","-33.80"
"2011/09/16","11,239.03","-7.42","10,213.36","-9.78","10,122.74","-6.69"
"2011/09/15","11,246.46","-19.36","10,223.14","-18.71","10,129.42","-17.44"
"2011/09/14","11,265.82","16.59","10,241.85","14.19","10,146.86","14.95"
"2011/09/09","11,249.23","13.65","10,227.66","7.95","10,131.91","-54.28"
"2011/09/08","11,235.58","20.01","10,219.71","17.07","10,186.19","18.14"
"2011/09/07","11,215.57","-28.53","10,202.64","-27.26","10,168.05","-25.87"
"2011/09/06","11,244.10","1.74","10,229.90","0.60","10,193.92","1.57"
"2011/09/05","11,242.36","31.43","10,229.30","27.94","10,192.34","28.49"
"2011/09/02","11,210.94","6.97","10,201.36","3.45","10,163.85","6.32"
"2011/09/01","11,203.97","12.05","10,197.91","10.10","10,157.53","10.92"
"2011/08/31","11,191.92","-1.90","10,187.81","-2.74","10,146.61","-1.72"
"2011/08/30","11,193.81","11.86","10,190.55","9.93","10,148.33","10.75"
"2011/08/29","11,181.95","-8.09","10,180.62","-8.44","10,137.57","-7.33"
"2011/08/26","11,190.04","-3.59","10,189.06","-6.28","10,144.90","-3.25"
"2011/08/25","11,193.62","1.59","10,195.34","0.48","10,148.16","1.44"
"2011/08/24","11,192.03","18.30","10,194.86","15.85","10,146.71","16.59"
"2011/08/23","11,173.74","-6.65","10,179.01","-7.11","10,130.12","-6.03"
"2011/08/22","11,180.38","1.20","10,186.12","0.11","10,136.15","1.08"
